method_name,metric_scope,domain_scope,anchor_pct,label_fraction_pct,latent_dim,auc_of_auroc,auc_of_selacc,earliest_gt_0_6,auroc_at_100,stop_acc_at_100,auroc,selacc_at_10,stop_acc,pretrain_best_loss,pretrain_best_epoch,notes
no_svd_logreg,aggregate,science,,100,,0.8339160866567108,0.984375,0.1,0.8772970115715883,0.7333333333333334,,,,,,no svd logreg
no_svd_logreg,aggregate,coding,,100,,0.48251716984111354,0.4756250000000001,,0.538646017519257,0.6,,,,,,no svd logreg
no_svd_logreg,aggregate,ms,,100,,0.9314062212641555,0.9943910256410255,0.1,0.9600578810971631,0.7462962962962963,,,,,,no svd logreg
no_svd_logreg,anchor,coding,70,100,,,,,,,0.5270910623023299,0.6625,0.56,,,no svd logreg
no_svd_logreg,anchor,coding,100,100,,,,,,,0.538646017519257,0.5875,0.6,,,no svd logreg
frozen_svd_linear_head,aggregate,math,,1,,0.770457048105471,0.9434065934065934,0.1,0.7853213924983127,0.75,,,,,,frozen svd linear head
frozen_svd_linear_head,aggregate,science,,1,,0.4576502039944387,0.6544270833333333,,0.3842101484977402,0.7,,,,,,frozen svd linear head
frozen_svd_linear_head,aggregate,coding,,1,,0.46863230666047573,0.371875,,0.5040593209607294,0.48,,,,,,frozen svd linear head
frozen_svd_linear_head,aggregate,ms,,1,,0.7009444160807972,0.8791889245014245,0.1,0.6961855604981854,0.7388888888888889,,,,,,frozen svd linear head
frozen_svd_linear_head,anchor,coding,70,1,,,,,,,0.4755682502161375,0.3125,0.48,,,frozen svd linear head
frozen_svd_linear_head,anchor,coding,100,1,,,,,,,0.5040593209607294,0.3375,0.48,,,frozen svd linear head
frozen_svd_linear_head,aggregate,math,,5,,0.8832181936693227,0.9862637362637363,0.1,0.8728202591686489,0.75,,,,,,frozen svd linear head
frozen_svd_linear_head,aggregate,science,,5,,0.7248815192694826,0.9468750000000001,0.1,0.7803371120230848,0.6666666666666666,,,,,,frozen svd linear head
frozen_svd_linear_head,aggregate,coding,,5,,0.45801600590332975,0.43374999999999997,,0.4681265526335949,0.56,,,,,,frozen svd linear head
frozen_svd_linear_head,aggregate,ms,,5,,0.8480322660249138,0.9775106837606837,0.1,0.8522684486918569,0.7314814814814815,,,,,,frozen svd linear head
frozen_svd_linear_head,anchor,coding,70,5,,,,,,,0.4411472721331876,0.3,0.56,,,frozen svd linear head
frozen_svd_linear_head,anchor,coding,100,5,,,,,,,0.4681265526335949,0.55,0.56,,,frozen svd linear head
frozen_svd_linear_head,aggregate,math,,10,,0.9386020703958547,0.9978021978021978,0.1,0.9738253353672451,0.7142857142857143,,,,,,frozen svd linear head
